495,4,2,1,76,21009539
924,2,24,192,54,10547952
182,2,0,1,23,1414
898,3,1,4,31,22373759
604,3,14,334,75,39151167
515,3,0,20,58,17205771
532,1,10,95,38,17261807
182,1,0,32,21,1282082
102,4,0,1,66,8040459
1236,4,0,1,87,532
124,3,1,1,76,10702723
321,1,0,1,71,1884483
437,0,5,79,64,39299292
432,3,3,251,69,41274880
189,2,0,1,38,1813934
444,3,0,1,30,19
851,2,20,76,25,46132400
242,1,3,407,68,58926272
430,2,21,244,75,64215295
1762,0,5,81,53,9089030
539,3,55,880,94,53822024
204,4,1,313,49,21243959
253,3,0,69,24,45382598
764,1,26,370,72,31940213
262,4,0,1,37,1964
654,3,0,1,80,344
70,4,3,18,37,4131832
1134,4,1,78,28,36889343
473,3,1,6,84,42325842
2029,0,3,367,37,32709167
212,2,117,3065,28,36533206
580,2,0,1,15,7701262
481,2,1,55,44,6948094
1655,3,11,79,56,11572255
513,3,3,470,68,27486479
957,0,0,126,40,20178198
370,3,8,387,78,6439627
547,0,0,3,49,598144
272,3,0,1,66,583
156,3,3,323,36,80977458
1395,0,6,94,103,11159869
260,3,5,508,24,2949916
1144,2,0,11,94,174670
239,4,26,535,38,79147951
353,4,0,1,25,1131
266,1,0,310,41,4399895
1055,1,0,20,56,20030004
151,4,0,14,40,11235725
803,1,43,920,49,11664027
262,3,0,52,47,4633197
501,4,6,97,28,30329836
358,0,0,1,42,2417862
1707,2,1,68,48,28527481
824,0,2,293,21,7823540
209,3,0,1,38,9077777
154,3,1,142,27,14847998
927,3,47,3852,24,61261902
226,3,0,1,47,592
2154,3,1,1,49,11821094
603,2,0,21,79,29631565
1032,1,0,1,81,0
2596,2,49,1598,62,26127560
278,3,9,74,40,17110208
859,3,4,385,58,18637731
253,2,9,197,70,865343
1564,3,0,1,90,19752818
930,1,5,48,39,56936921
290,2,2,16,47,5441083
656,0,1,117,30,9968230
537,2,0,20,32,1627803
786,1,0,128,58,8830085
674,3,58,1510,52,92373545
255,1,714,10422,26,86296017
588,2,0,18,64,467785
1313,2,0,1,15,0
432,0,1,114,69,18939042
1306,0,0,1,50,1582
1263,3,31,305,39,4414025
4024,4,0,13,39,3590867
1347,0,1,14,43,9665055
1265,0,1,67,85,7252775
133,3,5,16,43,21042718
751,4,0,31,17,7940279
335,2,248,3900,52,52770291
1080,2,3,18,71,27917903
550,4,23,147,26,59878981
415,2,0,24,54,1757566
818,0,0,1,27,366
509,0,1,1,47,18617584
4375,2,0,8,25,32054379
361,1,16,427,26,30817010
253,2,0,6,53,9616512
214,0,10,95,78,692699
171,4,0,22,62,19346042
347,3,0,6,31,161377
386,0,4,82,115,13958947
3458,1,0,1,74,910
1006,2,0,3,63,621609
214,3,0,1,111,1019
2581,0,8,85,55,53043701
813,4,1,1,22,348853
115,2,0,1,23,125
2394,2,0,1,35,0
436,0,53,3334,104,55937983
86,2,0,1,34,0
163,2,0,1,27,12171617
1260,3,4,117,32,25315201
641,1,0,24,40,5722763
248,2,0,41,81,15535659
620,0,6,41,65,7329375
468,3,15,355,77,32731465
491,1,260,4148,42,58296400
232,0,0,1,60,0
227,3,0,1,38,382
446,2,3,52,50,10642022
668,2,13,439,111,88904389
1262,2,3,50,41,9960368
214,2,0,6,37,2760903
1143,0,1,134,82,18319458
216,4,0,1,29,6191775
637,1,1,118,40,65051124
533,2,0,1,46,6656942
360,3,0,34,40,1353590
1507,1,33,693,67,1899387
828,1,77,1279,37,42968076
583,1,9,845,52,37734377
851,3,0,11,99,265100
771,4,0,1,31,1384
117,2,0,1,88,10232469
2670,2,2,334,104,50990565
1082,3,0,47,22,21951568
82,2,1,58,51,6361231
2318,2,1,140,63,42558567
176,0,0,-5,97,1458880
897,3,7,76,64,57694843
233,4,0,1,56,6830979
801,1,57,591,53,55736428
592,3,0,82,48,1723715
269,4,0,15,59,7109
126,4,0,1,55,547924
676,3,3,35,53,10893314
151,1,0,1,73,368
88,2,18,79,34,702760
192,1,34,646,30,32831802
476,4,154,2662,49,9796115
6095,3,0,1,71,1018168
679,3,15,241,32,24753146
1019,3,10,43,39,12282399
2291,2,0,1,49,1530
640,2,0,67,74,6325638
219,4,6,57,25,26277682
564,2,3,48,40,88639124
644,1,0,1,48,836
237,4,0,1,48,0
847,2,5,63,74,52942579
2982,1,24,134,60,10094792
68,2,4,248,22,31108628
1123,4,0,1,56,892
473,1,23,867,85,18281135
89,4,23,26,53,105821
349,4,0,1,73,97793
688,3,0,1,33,886
148,1,3,305,29,4587402
1633,4,54,1117,28,41315416
223,0,0,1,148,1669
201,0,1,10,48,1234303
191,1,3,255,40,10813105
364,1,0,6,51,18581072
335,0,51,1546,110,32969494
170,4,0,1,64,0
364,2,13,1743,42,89651375
400,4,0,26,20,1812980
342,1,133,1805,32,33104272
112,3,35,348,25,61180302
771,4,2,76,62,19752008
64,4,1,43,64,2850254
557,0,18,165,103,10121305
8886,1,14,552,71,8136951
3629,0,0,1,55,3906
501,2,0,1,25,10452101
828,2,2,61,33,57544796
288,1,0,50,59,17982798
195,0,5,955,63,30179230
736,1,0,10,44,6432205
241,1,325,5675,53,59979952
299,4,0,1,18,428375
182,3,0,1,21,2071491
261,3,2,41,33,2417193
155,2,0,16,23,575824
1725,4,0,1,26,2380
257,1,38,1041,85,35073261
161,1,0,6,23,25565134
308,2,8,919,16,22114271
271,2,14,1855,43,83346528
716,2,10,103,65,6277513
3826,1,4,201,67,41485442
215,4,2,16,56,181315
228,2,0,1,81,487
1138,2,9,389,102,63430888
463,2,0,1,35,304
1188,3,7,90,32,78360502
915,3,6,473,45,16990894
407,3,1,1,70,1205665
595,3,0,3,24,781503
1670,0,4,144,57,14384919
209,0,1,47,35,11998970
730,2,0,1,47,356
232,3,0,1,63,1008212
431,3,1,11,56,10329792
153,1,2,222,17,4398217
198,3,4,96,79,14688145
679,4,12,817,52,46382604
55,3,0,1,64,3832
268,3,0,1,32,148
988,2,67,1101,63,26029448
339,4,347,12678,38,89863262
71,4,0,1,22,2810
308,2,0,1,45,83
46,3,0,16,46,4342334
315,2,0,1,35,1052
14595,2,22,394,96,53950530
107,3,0,35,31,3899855
272,4,34,349,48,534460
178,0,0,1,39,2676216
403,3,4,1308,23,29090153
99,4,0,1,63,92894
220,2,8,322,22,23204955
576,3,0,495,49,59714646
1488,4,0,1,28,1305985
114,2,0,4,39,4753297
1428,2,38,616,65,2089940
409,0,2,59,48,32399272
340,0,2,10,48,5264589
292,4,69,1525,60,45471254
379,4,0,1,54,63247
647,3,0,94,26,2757644
2314,3,1,1,32,42895
731,3,22,251,33,3295095
2070,3,0,199,18,48909474
128,3,14,617,27,30919993
44,0,0,1,59,1295401
910,0,44,399,77,36625941
302,1,0,33,73,410040
277,3,5,81,58,34870564
103,4,1,44,96,21548985
204,1,9,37,74,27320608
218,2,0,1,24,13152333
